timestamp,equity,cash
2016-01-04,100000.0,100000.0
2016-01-05,100000.0,100000.0
2016-01-06,100000.0,100000.0
2016-01-07,100000.0,100000.0
2016-01-08,100000.0,100000.0
2016-01-11,100000.0,100000.0
2016-01-12,100000.0,100000.0
2016-01-13,100000.0,100000.0
2016-01-14,100000.0,100000.0
2016-01-15,100000.0,100000.0
2016-01-19,100000.0,100000.0
2016-01-20,100000.0,100000.0
2016-01-21,100000.0,100000.0
2016-01-22,100000.0,100000.0
2016-01-25,100000.0,100000.0
2016-01-26,100000.0,100000.0
2016-01-27,100000.0,100000.0
2016-01-28,100000.0,100000.0
2016-01-29,100000.0,100000.0
2016-02-01,100000.0,100000.0
2016-02-02,100000.0,100000.0
2016-02-03,100000.0,100000.0
2016-02-04,100000.0,100000.0
2016-02-05,100000.0,100000.0
2016-02-08,100000.0,100000.0
2016-02-09,100000.0,100000.0
2016-02-10,100000.0,100000.0
2016-02-11,100000.0,100000.0
2016-02-12,100000.0,100000.0
2016-02-16,100000.0,100000.0
2016-02-17,100000.0,100000.0
2016-02-18,100000.0,100000.0
2016-02-19,100000.0,100000.0
2016-02-22,100000.0,100000.0
2016-02-23,100000.0,100000.0
2016-02-24,100000.0,100000.0
2016-02-25,100000.0,100000.0
2016-02-26,100000.0,100000.0
2016-02-29,100000.0,100000.0
2016-03-01,100000.0,100000.0
2016-03-02,100000.0,100000.0
2016-03-03,100000.0,100000.0
2016-03-04,100000.0,100000.0
2016-03-07,100000.0,100000.0
2016-03-08,100000.0,100000.0
2016-03-09,100000.0,100000.0
2016-03-10,100000.0,100000.0
2016-03-11,100000.0,100000.0
2016-03-14,100000.0,100000.0
2016-03-15,100094.05319534542,60086.906169283415
2016-03-16,100342.43318878414,60086.906169283415
2016-03-17,100431.31553970577,60086.906169283415
2016-03-18,100642.97296844723,60086.906169283415
2016-03-21,100761.91167672048,61656.62393410573
2016-03-22,100871.93403394628,55344.217206553694
2016-03-23,100510.4504600327,55344.217206553694
2016-03-24,100544.14272458959,55344.217206553694
2016-03-28,100470.79534681249,55344.217206553694
2016-03-29,101049.6856704514,55344.217206553694
2016-03-30,101248.12603147436,55344.217206553694
2016-03-31,101187.49208600927,55344.217206553694
2016-04-01,101613.98620756078,55344.217206553694
